i_src,i_meas,v_up,v_down,v_current,old_up,old_down,old_current
2.820, 2.816, 2812.400, 2774.300, 1545.400, 13.854, 13.654, -2.839
2.830, 2.825, 2812.700, 2773.300, 1544.800, 13.854, 13.648, -2.850
2.840, 2.835, 2812.700, 2772.100, 1543.200, 13.854, 13.641, -2.882
2.850, 2.845, 2812.600, 2773.100, 1542.300, 13.854, 13.648, -2.907
2.860, 2.856, 2812.000, 2772.900, 1543.500, 13.854, 13.641, -2.882
2.870, 2.866, 2812.000, 2772.600, 1542.100, 13.854, 13.641, -2.907
2.880, 2.876, 2813.300, 2774.100, 1541.000, 13.858, 13.654, -2.937
2.890, 2.886, 2813.400, 2775.400, 1541.500, 13.858, 13.660, -2.937
2.900, 2.895, 2814.900, 2776.200, 1540.100, 13.862, 13.667, -2.959
2.910, 2.905, 2815.200, 2776.100, 1540.800, 13.867, 13.667, -2.959
2.920, 2.916, 2815.400, 2776.300, 1540.200, 13.867, 13.667, -2.959
2.930, 2.925, 2815.700, 2776.900, 1540.300, 13.867, 13.667, -2.959
2.940, 2.935, 2816.900, 2777.300, 1540.200, 13.871, 13.673, -2.959
2.950, 2.945, 2818.400, 2777.700, 1539.700, 13.880, 13.673, -2.959
2.960, 2.955, 2817.500, 2777.900, 1539.300, 13.875, 13.673, -2.959
2.970, 2.966, 2816.800, 2777.700, 1538.700, 13.871, 13.673, -2.959
2.980, 2.975, 2818.500, 2777.500, 1539.000, 13.880, 13.673, -2.959
2.990, 2.985, 2819.500, 2777.800, 1538.800, 13.884, 13.673, -2.959
