SRC,MULT,CH1,CH2,VBAT,VPOW
11.420, 11.415, 11.421, 11.416, 8.005, 2311.100
11.430, 11.426, 11.427, 11.432, 8.005, 2313.500
11.440, 11.435, 11.434, 11.440, 8.005, 2315.500
11.450, 11.442, 11.439, 11.450, 8.005, 2318.500
11.460, 11.456, 11.452, 11.456, 8.005, 2319.100
11.470, 11.465, 11.455, 11.465, 8.005, 2320.600
11.480, 11.475, 11.469, 11.478, 8.005, 2323.800
11.490, 11.484, 11.483, 11.486, 8.005, 2325.200
11.500, 11.498, 11.495, 11.496, 8.005, 2326.000
11.510, 11.505, 11.502, 11.519, 8.005, 2326.900
11.520, 11.514, 11.515, 11.516, 8.005, 2328.700
11.530, 11.525, 11.526, 11.528, 8.005, 2331.400
11.540, 11.534, 11.536, 11.533, 8.005, 2335.100
11.550, 11.547, 11.542, 11.548, 8.005, 2337.500
11.560, 11.554, 11.560, 11.554, 8.005, 2338.500
11.570, 11.567, 11.572, 11.571, 8.005, 2339.800
11.580, 11.575, 11.575, 11.581, 8.005, 2341.700
11.590, 11.583, 11.584, 11.585, 8.005, 2344.400
11.600, 11.597, 11.597, 11.599, 8.005, 2348.500
11.610, 11.605, 11.600, 11.605, 8.005, 2350.400
11.620, 11.616, 11.613, 11.616, 8.005, 2351.500
11.630, 11.624, 11.619, 11.624, 8.005, 2352.100
11.640, 11.633, 11.628, 11.630, 8.005, 2353.100
11.650, 11.646, 11.643, 11.645, 8.005, 2355.500
11.660, 11.654, 11.650, 11.651, 8.005, 2359.200
11.670, 11.666, 11.661, 11.667, 8.005, 2362.400
11.680, 11.674, 11.675, 11.674, 8.005, 2364.200
11.690, 11.687, 11.682, 11.682, 8.005, 2365.100
11.700, 11.697, 11.700, 11.700, 8.005, 2366.900
11.710, 11.705, 11.709, 11.704, 8.005, 2368.600
11.720, 11.716, 11.723, 11.719, 8.005, 2370.000
11.730, 11.724, 11.726, 11.727, 8.005, 2371.200
11.740, 11.738, 11.738, 11.739, 8.005, 2376.300
11.750, 11.746, 11.743, 11.745, 8.005, 2377.600
11.760, 11.757, 11.751, 11.755, 8.005, 2378.400
11.770, 11.766, 11.760, 11.767, 8.005, 2380.400
11.780, 11.774, 11.770, 11.777, 8.005, 2382.000
11.790, 11.787, 11.780, 11.784, 8.005, 2387.200
11.800, 11.796, 11.789, 11.797, 8.005, 2389.400
11.810, 11.807, 11.799, 11.809, 8.005, 2390.100
11.820, 11.815, 11.809, 11.819, 8.005, 2390.300
11.830, 11.823, 11.819, 11.824, 8.005, 2392.900
11.840, 11.837, 11.835, 11.839, 8.005, 2396.600
11.850, 11.845, 11.839, 11.845, 8.005, 2399.900
11.860, 11.856, 11.855, 11.856, 8.005, 2402.100
11.870, 11.865, 11.866, 11.868, 8.005, 2402.700
11.880, 11.878, 11.879, 11.874, 8.005, 2403.300
11.890, 11.886, 11.892, 11.884, 8.005, 2404.100
11.900, 11.895, 11.898, 11.894, 8.005, 2406.900
11.910, 11.906, 11.906, 11.908, 8.005, 2410.000
11.920, 11.915, 11.917, 11.915, 8.005, 2413.400
11.930, 11.928, 11.926, 11.929, 8.005, 2416.800
11.940, 11.936, 11.933, 11.931, 8.005, 2418.900
11.950, 11.948, 11.944, 11.945, 8.005, 2419.500
11.960, 11.955, 11.948, 11.956, 8.005, 2422.400
11.970, 11.964, 11.962, 11.963, 8.005, 2422.900
11.980, 11.977, 11.975, 11.979, 8.005, 2426.500
11.990, 11.985, 11.986, 11.979, 8.005, 2427.400
12.000, 11.997, 11.995, 11.998, 8.005, 2428.900
12.010, 12.005, 11.999, 12.005, 8.005, 2429.100
12.020, 12.018, 12.014, 12.019, 8.005, 2431.700
12.030, 12.027, 12.023, 12.033, 8.005, 2433.500
12.040, 12.035, 12.031, 12.037, 8.005, 2437.100
12.050, 12.046, 12.038, 12.055, 8.005, 2440.200
12.060, 12.054, 12.048, 12.053, 8.005, 2441.700
12.070, 12.068, 12.062, 12.075, 8.005, 2442.400
12.080, 12.076, 12.074, 12.084, 8.005, 2443.700
12.090, 12.084, 12.081, 12.090, 8.005, 2445.400
12.100, 12.096, 12.092, 12.101, 8.005, 2451.900
12.110, 12.096, 12.091, 12.106, 8.005, 2451.400
12.120, 12.117, 12.115, 12.121, 8.005, 2453.700
12.130, 12.126, 12.123, 12.129, 8.005, 2454.800
12.140, 12.137, 12.134, 12.147, 8.005, 2455.400
12.150, 12.146, 12.142, 12.152, 8.005, 2457.600
12.160, 12.153, 12.149, 12.161, 8.005, 2460.000
12.170, 12.167, 12.163, 12.173, 8.005, 2463.800
12.180, 12.176, 12.172, 12.181, 8.005, 2467.100
12.190, 12.186, 12.184, 12.192, 8.005, 2467.800
12.200, 12.195, 12.202, 12.207, 8.005, 2468.300
12.210, 12.209, 12.215, 12.215, 8.005, 2469.900
12.220, 12.216, 12.222, 12.223, 8.005, 2471.900
12.230, 12.232, 12.233, 12.244, 8.005, 2473.000
12.240, 12.239, 12.238, 12.244, 8.005, 2473.800
12.250, 12.248, 12.246, 12.259, 8.005, 2474.000
12.260, 12.259, 12.256, 12.264, 8.005, 2474.000
12.270, 12.268, 12.269, 12.273, 8.005, 2476.400
12.280, 12.275, 12.272, 12.281, 8.005, 2483.200
12.290, 12.288, 12.288, 12.293, 8.005, 2489.900
12.300, 12.297, 12.301, 12.300, 8.005, 2491.800
12.310, 12.308, 12.313, 12.315, 8.005, 2493.800
12.320, 12.317, 12.320, 12.320, 8.005, 2494.000
12.330, 12.330, 12.326, 12.334, 8.005, 2497.300
12.340, 12.338, 12.334, 12.337, 8.005, 2500.900
12.350, 12.347, 12.342, 12.347, 8.005, 2503.000
12.360, 12.357, 12.354, 12.361, 8.005, 2504.400
12.370, 12.367, 12.365, 12.376, 8.005, 2505.300
12.380, 12.380, 12.372, 12.388, 8.005, 2506.900
12.390, 12.388, 12.394, 12.398, 8.005, 2507.100
12.400, 12.400, 12.402, 12.404, 8.005, 2510.500
12.410, 12.408, 12.407, 12.413, 8.005, 2514.300
12.420, 12.416, 12.419, 12.419, 8.005, 2519.000
12.430, 12.430, 12.430, 12.433, 8.005, 2520.900
12.440, 12.437, 12.439, 12.441, 8.005, 2523.900
12.450, 12.449, 12.448, 12.452, 8.005, 2524.200
12.460, 12.457, 12.459, 12.464, 8.005, 2525.200
12.470, 12.466, 12.465, 12.474, 8.005, 2526.500
12.480, 12.479, 12.485, 12.483, 8.005, 2531.000
12.490, 12.487, 12.488, 12.490, 8.005, 2531.200
12.500, 12.498, 12.499, 12.502, 8.005, 2532.200
12.510, 12.506, 12.508, 12.508, 8.005, 2532.100
12.520, 12.519, 12.527, 12.524, 8.005, 2534.300
12.530, 12.528, 12.539, 12.531, 8.005, 2536.900
12.540, 12.536, 12.548, 12.543, 8.005, 2539.600
12.550, 12.547, 12.559, 12.555, 8.005, 2543.300
12.560, 12.555, 12.558, 12.559, 8.005, 2543.700
12.570, 12.569, 12.569, 12.574, 8.005, 2545.300
12.580, 12.577, 12.579, 12.581, 8.005, 2546.900
12.590, 12.588, 12.588, 12.594, 8.005, 2551.000
12.600, 12.597, 12.595, 12.599, 8.005, 2553.000
