SRC,MULT,VBAT,VPOW
12.740, 12.733, 2583.200, 2584.300
12.750, 12.742, 2584.000, 2586.300
12.760, 12.756, 2586.000, 2590.900
12.770, 12.764, 2589.500, 2592.500
12.780, 12.776, 2593.100, 2594.300
12.790, 12.776, 2593.400, 2595.000
12.800, 12.792, 2596.400, 2597.000
12.810, 12.806, 2598.200, 2599.000
12.820, 12.813, 2599.500, 2603.100
12.830, 12.825, 2601.900, 2605.100
12.840, 12.833, 2603.100, 2606.400
12.850, 12.846, 2606.300, 2608.400
12.860, 12.855, 2608.800, 2610.000
12.870, 12.863, 2609.200, 2611.500
12.880, 12.875, 2610.800, 2614.500
12.890, 12.882, 2611.600, 2617.700
12.900, 12.896, 2616.900, 2621.900
12.910, 12.905, 2618.600, 2624.200
12.920, 12.913, 2620.700, 2625.800
12.930, 12.925, 2622.500, 2627.900
12.940, 12.932, 2623.500, 2629.200
12.950, 12.946, 2624.400, 2630.000
12.960, 12.955, 2627.400, 2631.800
12.970, 12.965, 2631.500, 2633.900
12.980, 12.974, 2632.500, 2634.400
12.990, 12.982, 2634.400, 2635.200
13.000, 12.995, 2635.800, 2637.700
13.010, 13.004, 2637.100, 2641.900
13.020, 13.015, 2641.200, 2643.900
13.030, 13.023, 2643.800, 2646.000
13.040, 13.036, 2645.600, 2647.700
13.050, 13.044, 2649.000, 2648.000
13.060, 13.053, 2649.000, 2649.300
13.070, 13.064, 2651.100, 2654.000
13.080, 13.073, 2652.700, 2656.600
13.090, 13.086, 2655.100, 2659.200
13.100, 13.094, 2656.900, 2659.600
13.110, 13.102, 2658.500, 2660.900
13.120, 13.113, 2660.600, 2663.600
13.130, 13.122, 2661.600, 2664.600
13.140, 13.135, 2663.900, 2669.000
13.150, 13.143, 2668.500, 2671.200
13.160, 13.156, 2670.300, 2672.300
13.170, 13.163, 2672.000, 2673.900
13.180, 13.172, 2673.400, 2674.300
13.190, 13.185, 2675.400, 2676.200
13.200, 13.193, 2676.600, 2677.300
13.210, 13.205, 2678.200, 2679.700
13.220, 13.213, 2679.400, 2680.200
13.230, 13.226, 2680.600, 2682.300
13.240, 13.235, 2684.200, 2686.800
13.250, 13.243, 2686.700, 2685.700
13.260, 13.255, 2688.200, 2691.300
13.270, 13.262, 2691.100, 2695.300
13.280, 13.276, 2696.200, 2698.300
13.290, 13.283, 2697.600, 2699.100
13.300, 13.291, 2699.900, 2698.900
13.310, 13.303, 2701.900, 2701.600
13.320, 13.311, 2702.800, 2706.100
13.330, 13.324, 2705.100, 2707.600
13.340, 13.333, 2705.700, 2709.500
13.350, 13.343, 2708.400, 2711.000
13.360, 13.353, 2710.800, 2713.000
13.370, 13.360, 2711.400, 2713.700
13.380, 13.373, 2713.300, 2716.500
13.390, 13.382, 2714.600, 2719.500
13.400, 13.393, 2719.000, 2724.000
13.410, 13.402, 2721.000, 2728.000
13.420, 13.416, 2723.900, 2729.300
13.430, 13.424, 2725.800, 2731.600
13.440, 13.432, 2727.000, 2731.300
13.450, 13.443, 2727.200, 2733.200
13.460, 13.452, 2729.200, 2733.500
13.470, 13.465, 2732.700, 2737.000
13.480, 13.473, 2733.900, 2737.700
13.490, 13.485, 2736.200, 2738.700
13.500, 13.493, 2738.100, 2741.500
13.510, 13.501, 2738.900, 2743.000
13.520, 13.515, 2743.100, 2746.400
13.530, 13.522, 2745.700, 2748.400
13.540, 13.534, 2747.800, 2749.900
13.550, 13.542, 2751.200, 2751.500
13.560, 13.550, 2752.000, 2752.500
13.570, 13.550, 2751.900, 2753.100
13.580, 13.571, 2753.900, 2758.600
13.590, 13.583, 2757.400, 2760.100
13.600, 13.591, 2759.000, 2762.600
13.610, 13.604, 2762.100, 2764.400
13.620, 13.613, 2762.900, 2764.500
13.630, 13.621, 2764.000, 2767.600
13.640, 13.633, 2766.100, 2771.300
13.650, 13.640, 2769.000, 2772.600
13.660, 13.654, 2771.700, 2775.500
13.670, 13.662, 2774.600, 2776.500
13.680, 13.673, 2776.400, 2777.800
13.690, 13.683, 2778.200, 2778.000
13.700, 13.691, 2780.000, 2779.800
13.710, 13.704, 2781.300, 2782.000
13.720, 13.713, 2782.400, 2784.300
13.730, 13.723, 2785.500, 2787.900
13.740, 13.732, 2788.000, 2789.700
13.750, 13.740, 2789.500, 2791.500
13.760, 13.753, 2791.000, 2794.700
13.770, 13.762, 2793.100, 2797.600
13.780, 13.773, 2797.700, 2799.400
13.790, 13.782, 2799.300, 2801.500
13.800, 13.795, 2802.400, 2802.700
13.810, 13.803, 2804.800, 2803.300
13.820, 13.813, 2804.200, 2808.400
13.830, 13.823, 2806.000, 2810.600
13.840, 13.832, 2808.600, 2811.600
13.850, 13.845, 2810.000, 2814.200
13.860, 13.853, 2813.600, 2815.600
13.870, 13.865, 2814.900, 2817.800
13.880, 13.872, 2815.900, 2819.100
13.890, 13.882, 2817.500, 2822.800
13.900, 13.895, 2822.500, 2829.500
13.910, 13.902, 2824.000, 2829.600
13.920, 13.915, 2827.200, 2831.200
13.930, 13.922, 2828.800, 2833.800
13.940, 13.931, 2829.400, 2834.900
13.950, 13.945, 2829.900, 2835.800
13.960, 13.953, 2831.200, 2836.900
13.970, 13.964, 2834.100, 2839.500
